hotel,is_canceled,lead_time,arrival_date_year,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,deposit_type,agent,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests
Resort Hotel,0.0,15,2015,27,3,0,2,2,0,0,0,0,0,0,No Deposit,240.0,0.0,114.5,0.0,0.0
Resort Hotel,1.0,51,2015,27,3,0,2,3,0,0,0,0,0,0,No Deposit,242.0,0.0,110.3,0.0,0.0
Resort Hotel,0.0,3,2015,27,3,1,2,2,0,0,0,0,0,0,No Deposit,240.0,0.0,90.9,1.0,0.0
Resort Hotel,1.0,48,2015,27,3,1,2,2,0,0,0,0,0,0,No Deposit,240.0,0.0,123.0,0.0,0.0
Resort Hotel,0.0,2,2015,27,3,2,2,1,0,0,0,0,0,0,No Deposit,240.0,0.0,122.0,0.0,0.0
Resort Hotel,0.0,72,2015,27,3,2,2,2,0,0,0,0,0,0,No Deposit,105.0,0.0,110.7,1.0,0.0
Resort Hotel,0.0,81,2015,27,3,2,6,3,0,0,0,0,0,0,No Deposit,5.0,0.0,85.86,0.0,0.0
Resort Hotel,0.0,99,2015,27,3,2,7,2,0,0,0,0,0,0,No Deposit,40.0,0.0,58.95,0.0,0.0
Resort Hotel,1.0,368,2015,27,3,3,7,2,0,0,0,0,0,0,No Deposit,40.0,0.0,55.68,0.0,0.0
Resort Hotel,0.0,364,2015,27,3,3,7,2,0,0,0,0,0,0,No Deposit,40.0,0.0,55.68,0.0,0.0
Resort Hotel,0.0,99,2015,27,3,3,7,2,0,0,0,0,0,0,No Deposit,115.0,0.0,111.15,0.0,0.0
Resort Hotel,0.0,324,2015,27,3,4,10,2,0,0,0,0,0,0,No Deposit,40.0,0.0,134.73,0.0,0.0
Resort Hotel,1.0,79,2015,27,3,6,15,2,1,0,0,0,0,0,No Deposit,242.0,0.0,108.73,0.0,2.0
Resort Hotel,0.0,12,2015,27,3,0,1,2,0,0,0,0,0,0,No Deposit,240.0,0.0,73.8,0.0,0.0
Resort Hotel,0.0,9,2015,27,3,0,1,2,0,0,0,0,0,0,No Deposit,240.0,0.0,98.0,1.0,2.0
Resort Hotel,0.0,1,2015,27,3,0,1,2,0,0,0,0,0,0,No Deposit,240.0,0.0,131.0,0.0,1.0
Resort Hotel,0.0,21,2015,27,3,0,1,2,0,0,0,0,0,0,No Deposit,240.0,0.0,123.0,0.0,0.0
Resort Hotel,0.0,9,2015,27,3,0,1,2,0,0,0,0,0,0,No Deposit,241.0,0.0,94.71,0.0,0.0
Resort Hotel,0.0,109,2015,27,3,0,1,2,0,0,0,0,0,0,No Deposit,240.0,0.0,123.0,0.0,2.0
Resort Hotel,1.0,109,2015,27,3,0,2,2,0,0,0,0,0,0,No Deposit,240.0,0.0,123.0,0.0,1.0
Resort Hotel,1.0,72,2015,27,3,0,2,2,0,0,0,0,0,0,No Deposit,240.0,0.0,73.8,0.0,1.0
Resort Hotel,1.0,63,2015,27,3,2,5,2,0,0,0,0,0,0,No Deposit,242.0,0.0,117.0,0.0,1.0
Resort Hotel,0.0,63,2015,27,3,2,5,3,0,0,0,0,0,0,No Deposit,105.0,0.0,196.54,0.0,1.0
Resort Hotel,0.0,101,2015,27,3,2,5,2,1,0,0,0,0,0,No Deposit,240.0,0.0,99.3,1.0,2.0
Resort Hotel,0.0,102,2015,27,3,2,5,2,0,0,0,0,0,0,No Deposit,250.0,0.0,90.95,0.0,0.0
Resort Hotel,0.0,4,2015,27,4,2,1,2,0,0,0,0,0,0,No Deposit,250.0,0.0,92.67,0.0,1.0
Resort Hotel,0.0,98,2015,27,4,2,1,2,0,0,0,0,0,0,No Deposit,8.0,0.0,71.55,1.0,0.0
Resort Hotel,0.0,92,2015,27,4,2,4,1,2,0,0,0,0,0,No Deposit,241.0,0.0,96.49,0.0,2.0
Resort Hotel,0.0,95,2015,27,4,2,4,2,0,0,0,0,0,0,No Deposit,240.0,0.0,85.8,1.0,2.0
Resort Hotel,0.0,102,2015,27,4,2,5,2,0,0,0,0,0,0,No Deposit,240.0,0.0,96.3,0.0,1.0
Resort Hotel,1.0,26,2015,27,4,2,5,2,2,0,0,0,0,0,No Deposit,240.0,0.0,163.0,0.0,0.0
Resort Hotel,1.0,73,2015,27,4,2,5,3,0,0,0,0,0,0,No Deposit,250.0,0.0,172.0,0.0,1.0
Resort Hotel,1.0,102,2015,27,4,2,5,2,0,0,0,0,0,0,No Deposit,240.0,0.0,110.7,0.0,1.0
Resort Hotel,0.0,115,2015,27,4,2,5,2,0,0,0,0,0,0,No Deposit,134.0,0.0,58.95,0.0,1.0
Resort Hotel,0.0,102,2015,27,4,2,5,2,0,1,0,0,0,0,No Deposit,240.0,0.0,73.8,0.0,2.0
Resort Hotel,0.0,86,2015,27,4,2,5,2,0,0,0,0,0,0,No Deposit,240.0,0.0,97.0,0.0,2.0
Resort Hotel,0.0,78,2015,27,4,2,5,2,0,1,0,0,0,0,No Deposit,240.0,0.0,139.0,0.0,2.0
Resort Hotel,0.0,52,2015,27,4,2,5,2,0,0,0,0,0,0,No Deposit,147.0,0.0,67.24,0.0,0.0
Resort Hotel,0.0,29,2015,27,4,2,6,3,0,0,0,0,0,0,No Deposit,241.0,0.0,116.5,0.0,1.0
Resort Hotel,1.0,101,2015,27,4,2,6,2,0,0,0,0,0,0,No Deposit,240.0,0.0,96.3,0.0,1.0
Resort Hotel,0.0,109,2015,27,4,2,6,2,0,0,0,0,0,0,No Deposit,240.0,0.0,123.0,0.0,1.0
Resort Hotel,0.0,92,2015,27,4,4,6,2,0,0,0,0,0,0,No Deposit,40.0,0.0,71.55,0.0,1.0
Resort Hotel,0.0,92,2015,27,4,4,6,2,0,0,0,0,0,0,No Deposit,40.0,0.0,71.55,0.0,1.0
Resort Hotel,0.0,30,2015,27,4,0,1,2,0,0,0,0,0,0,No Deposit,8.0,0.0,79.5,0.0,0.0
Resort Hotel,1.0,51,2015,27,4,0,1,1,0,0,0,0,0,0,No Deposit,240.0,0.0,105.0,0.0,0.0
Resort Hotel,1.0,73,2015,27,4,0,1,2,0,0,0,0,0,0,No Deposit,240.0,0.0,73.8,0.0,2.0
Resort Hotel,1.0,33,2015,27,4,0,1,2,0,0,0,0,0,0,No Deposit,240.0,0.0,113.0,0.0,0.0
Resort Hotel,0.0,8,2015,27,4,0,1,2,0,0,0,0,0,0,No Deposit,240.0,0.0,123.0,0.0,0.0
Resort Hotel,0.0,100,2015,27,4,1,1,2,0,0,0,0,0,0,No Deposit,240.0,0.0,73.8,1.0,1.0
Resort Hotel,0.0,1,2015,27,4,1,1,2,0,0,0,0,0,0,No Deposit,240.0,0.0,114.5,0.0,0.0
Resort Hotel,0.0,100,2015,27,4,1,1,2,0,0,0,0,0,0,No Deposit,240.0,0.0,73.8,0.0,2.0
Resort Hotel,0.0,100,2015,27,4,1,1,2,0,0,0,0,0,0,No Deposit,240.0,0.0,73.8,0.0,1.0
Resort Hotel,0.0,9,2015,28,5,1,0,2,0,0,0,0,0,0,No Deposit,240.0,0.0,88.2,0.0,1.0
Resort Hotel,1.0,5,2015,28,5,1,0,2,0,0,0,0,0,0,No Deposit,240.0,0.0,97.0,0.0,0.0
Resort Hotel,0.0,9,2015,28,5,1,0,1,0,0,0,0,0,0,No Deposit,184.0,0.0,89.0,0.0,0.0
Resort Hotel,0.0,2,2015,28,5,1,0,1,0,0,0,0,0,0,No Deposit,240.0,0.0,80.1,0.0,0.0
Resort Hotel,0.0,2,2015,28,5,1,0,2,0,0,0,0,0,0,No Deposit,240.0,0.0,98.0,0.0,0.0
Resort Hotel,0.0,9,2015,28,5,1,0,1,0,0,0,0,0,0,No Deposit,184.0,0.0,101.0,1.0,0.0
Resort Hotel,0.0,2,2015,28,5,1,0,2,0,0,0,0,0,0,No Deposit,214.65992721391024,0.0,167.0,0.0,1.0
Resort Hotel,0.0,80,2015,28,5,2,0,2,0,0,0,0,0,0,No Deposit,240.0,0.0,97.0,1.0,0.0
Resort Hotel,0.0,97,2015,28,5,2,2,2,0,0,0,0,0,0,No Deposit,240.0,0.0,87.3,0.0,2.0
Resort Hotel,0.0,109,2015,28,5,2,3,2,1,0,0,0,0,0,No Deposit,241.0,0.0,85.59,1.0,2.0
Resort Hotel,0.0,30,2015,28,5,2,3,2,0,0,0,0,0,0,No Deposit,240.0,0.0,123.0,0.0,0.0
Resort Hotel,0.0,64,2015,28,5,2,3,2,0,0,0,0,0,0,No Deposit,240.0,0.0,107.0,0.0,0.0
Resort Hotel,0.0,39,2015,28,5,2,4,2,0,0,0,0,0,0,No Deposit,240.0,0.0,163.0,0.0,0.0
Resort Hotel,0.0,90,2015,28,5,2,4,2,0,0,0,0,0,0,No Deposit,240.0,0.0,82.0,0.0,0.0
Resort Hotel,1.0,34,2015,28,5,2,4,2,2,0,0,0,0,0,No Deposit,240.0,0.0,163.0,0.0,0.0
Resort Hotel,1.0,93,2015,28,5,2,5,2,0,0,0,0,0,0,No Deposit,15.0,0.0,105.5,0.0,0.0
Resort Hotel,0.0,29,2015,28,5,2,5,2,0,0,0,0,0,0,No Deposit,241.0,0.0,97.29,0.0,1.0
Resort Hotel,1.0,101,2015,28,5,2,5,2,0,0,0,0,0,0,No Deposit,240.0,0.0,114.0,0.0,1.0
Resort Hotel,0.0,27,2015,28,5,2,5,2,0,0,0,0,0,0,No Deposit,175.0,0.0,98.4,0.0,0.0
Resort Hotel,0.0,82,2015,28,5,4,6,2,0,0,0,0,0,0,No Deposit,5.0,0.0,63.6,1.0,2.0
Resort Hotel,0.0,110,2015,28,5,4,7,2,0,0,0,0,0,0,No Deposit,40.0,0.0,110.7,0.0,0.0
Resort Hotel,0.0,96,2015,28,5,4,10,1,0,0,0,0,0,0,No Deposit,40.0,0.0,74.07,0.0,0.0
Resort Hotel,0.0,79,2015,28,5,4,10,2,0,0,0,0,0,0,No Deposit,243.0,0.0,134.1,0.0,0.0
Resort Hotel,0.0,111,2015,28,6,1,3,2,0,0,0,0,0,0,No Deposit,240.0,0.0,123.0,0.0,2.0
Resort Hotel,0.0,51,2015,28,6,1,3,2,0,0,0,0,0,0,No Deposit,241.0,0.0,117.81,1.0,2.0
Resort Hotel,0.0,94,2015,28,6,1,3,3,0,0,0,0,0,0,No Deposit,96.0,0.0,171.32,0.0,1.0
Resort Hotel,0.0,81,2015,28,6,1,3,2,2,0,0,0,0,0,No Deposit,250.0,0.0,210.0,1.0,0.0
Resort Hotel,0.0,51,2015,28,6,1,3,3,0,0,0,0,0,0,No Deposit,241.0,0.0,117.81,0.0,2.0
Resort Hotel,0.0,111,2015,28,6,0,0,2,0,0,0,0,0,0,No Deposit,240.0,0.0,0.0,0.0,2.0
Resort Hotel,0.0,0,2015,28,6,0,0,1,0,0,0,0,0,0,No Deposit,250.0,0.0,0.0,0.0,0.0
Resort Hotel,0.0,2,2015,28,6,1,0,2,1,0,0,0,0,0,No Deposit,214.65992721391024,0.0,131.0,0.0,0.0
Resort Hotel,0.0,7,2015,28,6,1,1,2,0,0,0,0,0,0,No Deposit,240.0,0.0,98.0,0.0,2.0
Resort Hotel,0.0,98,2015,28,6,1,1,2,0,0,0,0,0,0,No Deposit,240.0,0.0,87.3,1.0,1.0
Resort Hotel,0.0,95,2015,28,6,1,2,2,0,0,0,0,0,0,No Deposit,240.0,0.0,97.0,0.0,1.0
Resort Hotel,1.0,48,2015,28,6,1,3,2,0,0,0,0,0,0,No Deposit,240.0,0.0,167.0,0.0,0.0
Resort Hotel,0.0,66,2015,28,6,1,3,2,0,0,0,0,0,0,No Deposit,175.0,0.0,91.5,0.0,0.0
Resort Hotel,0.0,28,2015,28,6,1,4,2,0,0,0,0,0,0,No Deposit,240.0,0.0,123.0,0.0,0.0
Resort Hotel,0.0,34,2015,28,6,1,4,2,0,0,0,0,0,0,No Deposit,250.0,0.0,175.0,1.0,0.0
Resort Hotel,0.0,98,2015,28,6,1,5,2,0,0,0,0,0,0,No Deposit,240.0,0.0,117.8,1.0,1.0
Resort Hotel,0.0,68,2015,28,6,2,5,2,2,0,0,0,0,0,No Deposit,240.0,0.0,185.0,0.0,0.0
Resort Hotel,1.0,86,2015,28,6,2,5,1,0,0,0,0,0,0,No Deposit,175.0,0.0,71.0,0.0,1.0
Resort Hotel,0.0,258,2015,28,6,2,5,2,0,0,0,0,0,0,No Deposit,2.0,0.0,47.25,0.0,0.0
Resort Hotel,0.0,111,2015,28,6,3,5,2,0,0,0,0,0,0,No Deposit,240.0,0.0,151.0,0.0,1.0
Resort Hotel,1.0,94,2015,28,6,3,7,2,0,0,0,0,0,0,No Deposit,240.0,0.0,87.3,0.0,0.0
Resort Hotel,0.0,112,2015,28,6,3,7,2,0,0,0,0,0,0,No Deposit,242.0,0.0,120.6,0.0,1.0
Resort Hotel,0.0,97,2015,28,6,3,7,2,0,0,0,0,0,0,No Deposit,156.0,0.0,91.37,0.0,2.0
Resort Hotel,0.0,90,2015,28,6,4,10,2,0,0,0,0,0,0,No Deposit,8.0,0.0,110.7,0.0,0.0
Resort Hotel,0.0,111,2015,28,6,4,10,2,0,0,0,0,0,0,No Deposit,40.0,0.0,93.6,0.0,0.0
Resort Hotel,0.0,65,2015,28,6,2,5,2,0,0,0,0,0,0,No Deposit,127.0,0.0,83.5,0.0,0.0
Resort Hotel,1.0,67,2015,28,7,0,2,2,0,0,0,0,0,0,No Deposit,240.0,0.0,73.8,0.0,1.0
Resort Hotel,0.0,55,2015,28,7,0,3,2,0,0,0,0,0,0,No Deposit,240.0,0.0,82.0,1.0,2.0
Resort Hotel,0.0,21,2015,28,7,0,3,2,1,0,0,0,0,0,No Deposit,250.0,0.0,185.5,0.0,1.0
Resort Hotel,0.0,8,2015,28,7,0,0,2,0,0,0,0,0,0,No Deposit,214.65992721391024,0.0,0.0,0.0,1.0
Resort Hotel,0.0,8,2015,28,7,0,0,2,0,0,0,0,0,0,No Deposit,240.0,0.0,0.0,0.0,1.0
Resort Hotel,0.0,0,2015,28,7,0,1,1,0,0,0,0,0,0,No Deposit,240.0,0.0,109.8,0.0,3.0
Resort Hotel,0.0,0,2015,28,7,0,1,3,0,0,0,0,0,0,No Deposit,214.65992721391024,0.0,195.0,1.0,0.0
Resort Hotel,0.0,66,2015,28,7,0,4,2,0,0,0,0,0,0,No Deposit,240.0,0.0,97.0,0.0,2.0
Resort Hotel,0.0,88,2015,28,7,0,4,3,0,0,0,0,0,0,No Deposit,95.0,0.0,150.0,0.0,1.0
Resort Hotel,1.0,43,2015,28,7,0,5,2,0,0,0,0,0,0,No Deposit,134.0,0.0,91.5,0.0,0.0
Resort Hotel,1.0,88,2015,28,7,2,5,2,0,0,0,0,0,0,No Deposit,240.0,0.0,139.0,0.0,2.0
Resort Hotel,0.0,54,2015,28,7,2,5,2,0,0,0,0,0,0,No Deposit,8.0,0.0,79.5,0.0,0.0
Resort Hotel,1.0,292,2015,28,7,2,5,2,0,0,0,0,0,0,No Deposit,2.0,0.0,47.25,0.0,0.0
Resort Hotel,0.0,112,2015,28,7,4,10,2,0,0,0,0,0,0,No Deposit,156.0,0.0,126.65,0.0,1.0
Resort Hotel,0.0,68,2015,28,8,0,3,2,0,0,0,0,0,0,No Deposit,240.0,0.0,107.0,0.0,1.0
Resort Hotel,0.0,7,2015,28,8,0,4,2,0,0,0,0,0,0,No Deposit,240.0,0.0,131.0,1.0,2.0
Resort Hotel,0.0,1,2015,28,8,0,4,2,0,0,0,0,0,0,No Deposit,240.0,0.0,131.0,1.0,1.0
Resort Hotel,1.0,113,2015,28,8,0,4,2,0,0,0,0,0,0,No Deposit,240.0,0.0,123.0,0.0,1.0
Resort Hotel,0.0,5,2015,28,8,0,4,2,0,0,0,0,0,0,No Deposit,240.0,0.0,146.0,0.0,1.0
Resort Hotel,0.0,83,2015,28,8,0,4,2,0,0,0,0,0,0,No Deposit,105.0,0.0,110.7,0.0,1.0
Resort Hotel,1.0,105,2015,28,8,0,4,2,0,0,0,0,0,0,No Deposit,240.0,0.0,73.8,0.0,1.0
Resort Hotel,0.0,0,2015,28,8,0,1,1,0,0,0,0,0,0,No Deposit,146.0,0.0,61.0,0.0,0.0
Resort Hotel,1.0,1,2015,28,8,0,1,2,0,0,0,0,0,0,No Deposit,214.65992721391024,0.0,104.72,0.0,1.0
Resort Hotel,0.0,1,2015,28,8,0,2,2,0,0,0,0,0,0,No Deposit,214.65992721391024,0.0,104.72,1.0,1.0
Resort Hotel,1.0,102,2015,28,8,1,4,2,0,0,0,0,0,0,No Deposit,9.0,0.0,66.42,0.0,1.0
Resort Hotel,1.0,280,2015,28,8,2,5,2,1,0,0,0,0,0,No Deposit,40.0,0.0,112.0,0.0,1.0
Resort Hotel,0.0,96,2015,28,8,2,5,2,0,0,0,0,0,0,No Deposit,240.0,0.0,107.0,0.0,1.0
Resort Hotel,0.0,394,2015,28,8,2,5,2,0,0,0,0,0,0,No Deposit,40.0,0.0,89.68,0.0,0.0
Resort Hotel,0.0,33,2015,28,8,2,5,2,0,0,0,0,0,0,No Deposit,240.0,0.0,155.0,0.0,0.0
Resort Hotel,0.0,82,2015,28,8,2,6,3,0,0,0,0,0,0,No Deposit,250.0,0.0,112.0,0.0,1.0
Resort Hotel,0.0,100,2015,28,8,2,7,2,0,0,0,0,0,0,No Deposit,240.0,0.0,100.1,0.0,2.0
Resort Hotel,0.0,17,2015,28,9,0,1,2,2,0,0,0,0,0,No Deposit,242.0,0.0,123.0,0.0,3.0
Resort Hotel,0.0,68,2015,28,9,0,2,3,0,0,0,0,0,0,No Deposit,250.0,0.0,124.0,1.0,1.0
Resort Hotel,1.0,77,2015,28,9,0,3,2,0,0,0,0,0,0,No Deposit,250.0,0.0,97.0,0.0,0.0
Resort Hotel,1.0,24,2015,28,9,0,3,2,2,0,0,0,0,0,No Deposit,242.0,0.0,123.0,0.0,1.0
Resort Hotel,1.0,44,2015,28,9,0,3,2,2,0,0,0,0,0,No Deposit,240.0,0.0,153.0,0.0,0.0
Resort Hotel,0.0,78,2015,28,9,0,3,2,0,1,0,0,0,0,No Deposit,240.0,0.0,82.0,0.0,2.0
Resort Hotel,1.0,17,2015,28,9,1,3,2,0,0,0,0,0,0,No Deposit,240.0,0.0,105.08,0.0,0.0
Resort Hotel,1.0,103,2015,28,9,1,3,2,0,0,0,0,0,0,No Deposit,240.0,0.0,65.42,0.0,0.0
Resort Hotel,0.0,16,2015,28,9,1,3,1,0,0,0,0,0,0,No Deposit,250.0,0.0,98.0,0.0,1.0
Resort Hotel,0.0,14,2015,28,9,2,3,2,0,0,0,0,0,0,No Deposit,241.0,0.0,75.46,1.0,1.0
Resort Hotel,0.0,77,2015,28,9,2,3,2,0,0,0,0,0,0,No Deposit,177.0,0.0,65.5,0.0,0.0
Resort Hotel,0.0,90,2015,28,9,2,5,2,0,0,0,0,0,0,No Deposit,6.0,0.0,90.95,0.0,0.0
Resort Hotel,0.0,90,2015,28,9,2,5,2,0,0,0,0,0,0,No Deposit,40.0,0.0,93.6,0.0,0.0
Resort Hotel,0.0,90,2015,28,9,2,5,2,0,0,0,0,0,0,No Deposit,143.0,0.0,119.25,0.0,0.0
Resort Hotel,0.0,366,2015,28,9,2,5,2,0,0,0,0,0,0,No Deposit,40.0,0.0,134.73,0.0,0.0
